"female","black","age","education","state","income","vote"
0,1,30,"ColGrad",33,"34-67th Percentile","Gore"
1,0,80,"ColGrad",22,"34-67th Percentile","Gore"
1,0,52,"ColGrad",4,"68-95th Percentile","Gore"
0,0,49,"ColGrad",4,"96-100th Percentile","Bush"
1,0,49,"HS",14,"17-33rd Percentile","Bush"
1,0,21,"SomeCol",43,"17-33rd Percentile","Bush"
1,0,57,"HS",31,"0-16th Percentile","Bush"
1,0,39,"HS",31,"17-33rd Percentile","Bush"
1,0,44,"HS",31,"34-67th Percentile","Gore"
1,0,26,"HS",31,"17-33rd Percentile","Gore"
0,0,22,"SomeCol",11,"68-95th Percentile","Gore"
1,0,82,"<HS",11,"17-33rd Percentile","Bush"
1,1,33,"HS",23,"0-16th Percentile","Bush"
1,1,60,"HS",23,"0-16th Percentile","NoIntent"
0,1,52,"ColGrad",23,"0-16th Percentile","Gore"
0,1,24,"SomeCol",23,"34-67th Percentile","Gore"
0,0,76,"HS",23,"17-33rd Percentile","Gore"
0,0,65,"ColGrad",23,"68-95th Percentile","Bush"
0,0,46,"SomeCol",37,"34-67th Percentile","Gore"
0,0,40,"HS",11,"34-67th Percentile","Bush"
0,0,43,"ColGrad",22,"68-95th Percentile","Gore"
0,0,77,"HS",22,"0-16th Percentile","Gore"
0,0,66,"ColGrad",22,"96-100th Percentile","Gore"
1,1,51,"HS",9,"0-16th Percentile","Gore"
1,0,35,"ColGrad",31,"68-95th Percentile","Bush"
0,0,70,"<HS",31,"17-33rd Percentile","Gore"
1,0,28,"SomeCol",31,"0-16th Percentile","Gore"
1,0,33,"HS",31,"0-16th Percentile","Gore"
1,0,52,"HS",3,"17-33rd Percentile","Gore"
0,0,47,"ColGrad",31,"34-67th Percentile","Gore"
0,0,67,"ColGrad",39,"0-16th Percentile","Gore"
1,0,24,"HS",38,"34-67th Percentile","Bush"
1,0,32,"ColGrad",13,"68-95th Percentile","Bush"
1,0,46,"HS",11,"68-95th Percentile","Bush"
0,0,53,"ColGrad",41,"96-100th Percentile","Gore"
1,0,59,"SomeCol",28,"96-100th Percentile","Bush"
1,1,48,"ColGrad",12,"34-67th Percentile","Gore"
1,1,43,"ColGrad",12,"34-67th Percentile","NoIntent"
1,0,29,"ColGrad",10,"34-67th Percentile","Gore"
0,0,67,"SomeCol",45,"34-67th Percentile","NoIntent"
0,0,46,"ColGrad",12,"17-33rd Percentile","Gore"
0,0,65,"ColGrad",31,"34-67th Percentile","Bush"
1,0,62,"HS",45,"17-33rd Percentile","Gore"
1,0,35,"SomeCol",39,"17-33rd Percentile","Bush"
1,0,56,"ColGrad",46,"17-33rd Percentile","Gore"
0,0,45,"HS",32,"68-95th Percentile","Bush"
0,0,50,"ColGrad",22,"34-67th Percentile","Bush"
1,0,53,"HS",10,"34-67th Percentile","Gore"
1,0,56,"HS",35,"34-67th Percentile","Gore"
0,0,26,"HS",35,"0-16th Percentile","Gore"
1,0,33,"HS",9,"17-33rd Percentile","Bush"
1,0,32,"HS",35,"17-33rd Percentile","Bush"
0,1,54,"SomeCol",42,"34-67th Percentile","Gore"
0,0,55,"ColGrad",30,"34-67th Percentile","Bush"
0,0,25,"ColGrad",35,"68-95th Percentile","Bush"
1,1,42,"HS",25,"0-16th Percentile","Bush"
1,0,23,"ColGrad",25,"68-95th Percentile","Gore"
1,0,59,"HS",47,"68-95th Percentile","Gore"
1,0,75,"HS",10,"17-33rd Percentile","Gore"
1,0,79,"SomeCol",25,"0-16th Percentile","Bush"
1,0,55,"HS",29,"34-67th Percentile","Gore"
1,0,44,"SomeCol",29,"68-95th Percentile","Gore"
1,0,84,"<HS",8,"0-16th Percentile","Gore"
0,0,38,"ColGrad",7,"96-100th Percentile","Bush"
0,0,82,"HS",9,"17-33rd Percentile","Bush"
0,0,83,"ColGrad",12,"34-67th Percentile","Bush"
0,0,69,"HS",8,"34-67th Percentile","Gore"
1,0,56,"HS",26,"34-67th Percentile","Bush"
0,0,30,"SomeCol",39,"34-67th Percentile","Bush"
1,1,19,"HS",31,"17-33rd Percentile","Gore"
0,0,36,"ColGrad",22,"68-95th Percentile","Bush"
1,0,34,"HS",22,"0-16th Percentile","Gore"
0,0,56,"ColGrad",22,"68-95th Percentile","Bush"
1,0,48,"SomeCol",26,"34-67th Percentile","Gore"
1,0,35,"ColGrad",23,"34-67th Percentile","Bush"
0,0,25,"SomeCol",27,"34-67th Percentile","Bush"
1,1,62,"SomeCol",42,"0-16th Percentile","Gore"
0,0,38,"SomeCol",31,"34-67th Percentile","Bush"
0,0,27,"SomeCol",29,"34-67th Percentile","Gore"
1,0,36,"HS",46,"68-95th Percentile","Gore"
0,0,64,"ColGrad",22,"68-95th Percentile","Bush"
1,0,56,"ColGrad",22,"34-67th Percentile","Gore"
0,0,35,"ColGrad",13,"68-95th Percentile","Bush"
1,0,44,"HS",32,"68-95th Percentile","Bush"
0,0,38,"SomeCol",45,"68-95th Percentile","Bush"
1,0,59,"SomeCol",45,"68-95th Percentile","Gore"
1,0,50,"SomeCol",45,"68-95th Percentile","Gore"
0,0,63,"SomeCol",45,"34-67th Percentile","Bush"
1,0,47,"HS",45,"34-67th Percentile","Gore"
0,0,42,"HS",45,"68-95th Percentile","Gore"
0,0,63,"SomeCol",8,"34-67th Percentile","Gore"
0,0,47,"ColGrad",31,"68-95th Percentile","Bush"
1,0,66,"ColGrad",13,"34-67th Percentile","Gore"
1,0,34,"HS",8,"34-67th Percentile","Gore"
0,0,37,"HS",8,"0-16th Percentile","Bush"
1,0,43,"SomeCol",8,"17-33rd Percentile","Gore"
1,0,76,"SomeCol",8,"34-67th Percentile","Gore"
0,0,60,"ColGrad",8,"68-95th Percentile","Bush"
0,0,46,"SomeCol",12,"68-95th Percentile","Gore"
0,0,27,"ColGrad",13,"34-67th Percentile","Bush"
0,0,58,"SomeCol",8,"68-95th Percentile","Bush"
1,0,49,"SomeCol",8,"96-100th Percentile","Bush"
1,1,71,"SomeCol",8,"0-16th Percentile","Gore"
1,0,65,"HS",8,"17-33rd Percentile","Gore"
1,0,48,"SomeCol",8,"17-33rd Percentile","Bush"
1,0,65,"SomeCol",9,"17-33rd Percentile","Bush"
0,0,38,"ColGrad",9,"68-95th Percentile","Gore"
0,0,72,"ColGrad",9,"68-95th Percentile","NoIntent"
1,0,31,"HS",8,"68-95th Percentile","Gore"
0,0,49,"SomeCol",35,"34-67th Percentile","Bush"
0,0,83,"ColGrad",8,"34-67th Percentile","NoIntent"
1,0,55,"ColGrad",13,"96-100th Percentile","Gore"
1,0,23,"ColGrad",13,"68-95th Percentile","Gore"
0,0,20,"SomeCol",3,"0-16th Percentile","Bush"
0,0,79,"HS",3,"0-16th Percentile","Bush"
0,0,49,"SomeCol",45,"96-100th Percentile","Bush"
1,0,45,"HS",15,"17-33rd Percentile","Gore"
0,0,42,"ColGrad",15,"68-95th Percentile","Gore"
0,1,53,"<HS",24,"0-16th Percentile","Gore"
0,1,61,"HS",24,"0-16th Percentile","Gore"
1,0,28,"SomeCol",23,"34-67th Percentile","Bush"
0,0,26,"ColGrad",39,"68-95th Percentile","Gore"
1,0,77,"HS",3,"17-33rd Percentile","Gore"
1,0,63,"HS",3,"17-33rd Percentile","Bush"
1,0,47,"ColGrad",27,"68-95th Percentile","Gore"
1,0,64,"HS",27,"0-16th Percentile","Bush"
1,0,49,"ColGrad",13,"68-95th Percentile","Gore"
1,0,80,"ColGrad",13,"17-33rd Percentile","Gore"
1,0,70,"HS",13,"17-33rd Percentile","Gore"
1,0,60,"SomeCol",14,"68-95th Percentile","Bush"
0,0,40,"HS",8,"96-100th Percentile","Bush"
0,1,57,"HS",8,"68-95th Percentile","Gore"
0,0,75,"HS",17,"17-33rd Percentile","Gore"
0,1,64,"HS",24,"0-16th Percentile","Gore"
0,0,55,"SomeCol",24,"68-95th Percentile","Bush"
0,0,55,"HS",8,"34-67th Percentile","Bush"
1,1,20,"HS",27,"68-95th Percentile","Bush"
0,0,54,"SomeCol",27,"17-33rd Percentile","Gore"
0,0,39,"ColGrad",25,"17-33rd Percentile","Gore"
0,0,63,"HS",25,"17-33rd Percentile","Bush"
1,0,54,"ColGrad",25,"68-95th Percentile","Gore"
1,0,88,"<HS",27,"0-16th Percentile","Gore"
0,0,93,"<HS",27,"0-16th Percentile","Bush"
1,1,38,"HS",33,"34-67th Percentile","Gore"
0,0,49,"ColGrad",33,"68-95th Percentile","Gore"
1,1,23,"ColGrad",33,"68-95th Percentile","Gore"
1,0,19,"HS",45,"17-33rd Percentile","Bush"
1,0,33,"HS",45,"17-33rd Percentile","NoIntent"
0,0,18,"SomeCol",45,"0-16th Percentile","Gore"
1,0,39,"ColGrad",22,"34-67th Percentile","Bush"
1,0,68,"SomeCol",17,"0-16th Percentile","Bush"
1,0,58,"HS",17,"0-16th Percentile","Gore"
1,0,43,"SomeCol",39,"68-95th Percentile","Gore"
0,0,44,"SomeCol",39,"68-95th Percentile","Gore"
1,0,40,"HS",39,"68-95th Percentile","Gore"
1,0,52,"SomeCol",39,"68-95th Percentile","Gore"
1,1,45,"SomeCol",22,"34-67th Percentile","Gore"
1,0,26,"ColGrad",25,"68-95th Percentile","Gore"
1,0,34,"ColGrad",25,"0-16th Percentile","Bush"
1,1,44,"HS",24,"17-33rd Percentile","Gore"
1,1,75,"<HS",25,"0-16th Percentile","Gore"
0,0,39,"ColGrad",3,"96-100th Percentile","Gore"
1,0,40,"ColGrad",3,"68-95th Percentile","Gore"
0,0,52,"HS",43,"17-33rd Percentile","Gore"
0,1,76,"HS",24,"0-16th Percentile","Gore"
1,0,76,"HS",24,"0-16th Percentile","Gore"
1,0,66,"<HS",24,"17-33rd Percentile","Gore"
0,0,35,"SomeCol",24,"68-95th Percentile","Gore"
1,1,81,"ColGrad",24,"34-67th Percentile","Gore"
1,0,24,"SomeCol",43,"17-33rd Percentile","Gore"
1,0,75,"SomeCol",14,"34-67th Percentile","Gore"
1,0,70,"SomeCol",14,"34-67th Percentile","Gore"
1,0,57,"HS",14,"34-67th Percentile","Gore"
1,1,74,"HS",23,"0-16th Percentile","Gore"
1,1,47,"SomeCol",23,"34-67th Percentile","Gore"
1,0,61,"HS",13,"0-16th Percentile","Bush"
1,0,47,"HS",13,"34-67th Percentile","Gore"
0,0,32,"SomeCol",13,"0-16th Percentile","NoIntent"
1,1,31,"HS",36,"0-16th Percentile","Gore"
0,0,62,"<HS",23,"17-33rd Percentile","Bush"
1,0,34,"SomeCol",23,"17-33rd Percentile","Bush"
1,0,83,"HS",23,"0-16th Percentile","Bush"
0,0,28,"ColGrad",45,"68-95th Percentile","Gore"
0,0,45,"ColGrad",33,"68-95th Percentile","Gore"
0,0,40,"SomeCol",22,"68-95th Percentile","Gore"
1,1,29,"HS",36,"0-16th Percentile","Gore"
1,0,58,"SomeCol",12,"68-95th Percentile","Gore"
1,0,37,"ColGrad",12,"68-95th Percentile","Bush"
0,0,33,"SomeCol",12,"96-100th Percentile","Bush"
1,0,40,"SomeCol",12,"68-95th Percentile","Gore"
0,0,38,"ColGrad",39,"68-95th Percentile","Bush"
0,0,50,"HS",39,"68-95th Percentile","Gore"
1,0,37,"SomeCol",23,"0-16th Percentile","Bush"
1,0,55,"HS",23,"17-33rd Percentile","Gore"
0,0,58,"HS",23,"34-67th Percentile","Bush"
1,0,76,"HS",17,"34-67th Percentile","Gore"
1,0,36,"SomeCol",17,"68-95th Percentile","Gore"
1,0,69,"SomeCol",17,"17-33rd Percentile","Gore"
0,0,48,"ColGrad",14,"68-95th Percentile","Gore"
1,0,20,"SomeCol",14,"68-95th Percentile","Bush"
0,0,39,"ColGrad",14,"68-95th Percentile","Bush"
1,0,50,"SomeCol",14,"68-95th Percentile","Gore"
0,1,21,"HS",33,"17-33rd Percentile","Gore"
1,0,63,"HS",24,"0-16th Percentile","Gore"
0,1,59,"HS",23,"17-33rd Percentile","Gore"
0,0,33,"SomeCol",18,"68-95th Percentile","Bush"
1,0,48,"ColGrad",18,"68-95th Percentile","Bush"
1,0,40,"SomeCol",18,"68-95th Percentile","Bush"
1,0,57,"SomeCol",45,"17-33rd Percentile","Gore"
1,1,29,"ColGrad",23,"34-67th Percentile","Gore"
1,0,52,"SomeCol",31,"34-67th Percentile","Bush"
1,0,36,"ColGrad",31,"17-33rd Percentile","Bush"
1,0,36,"HS",3,"34-67th Percentile","Gore"
0,0,81,"ColGrad",3,"17-33rd Percentile","Bush"
0,0,74,"HS",3,"17-33rd Percentile","Gore"
0,0,57,"ColGrad",3,"17-33rd Percentile","Gore"
1,0,20,"HS",27,"0-16th Percentile","NoIntent"
1,0,44,"ColGrad",3,"17-33rd Percentile","Gore"
1,0,72,"HS",4,"68-95th Percentile","Bush"
0,0,48,"ColGrad",47,"68-95th Percentile","Gore"
0,1,41,"ColGrad",43,"17-33rd Percentile","Bush"
1,0,31,"SomeCol",46,"34-67th Percentile","Bush"
0,0,29,"ColGrad",46,"17-33rd Percentile","Bush"
0,0,35,"HS",23,"34-67th Percentile","Bush"
0,1,74,"HS",23,"17-33rd Percentile","Gore"
1,0,44,"ColGrad",45,"34-67th Percentile","Bush"
0,0,50,"SomeCol",45,"34-67th Percentile","Gore"
0,0,89,"HS",14,"34-67th Percentile","Gore"
0,0,46,"HS",14,"68-95th Percentile","Bush"
1,0,24,"ColGrad",14,"68-95th Percentile","Bush"
1,0,25,"HS",25,"0-16th Percentile","Gore"
1,0,71,"HS",14,"17-33rd Percentile","Gore"
1,0,29,"HS",14,"34-67th Percentile","Bush"
0,0,54,"SomeCol",14,"68-95th Percentile","Bush"
1,0,39,"ColGrad",22,"68-95th Percentile","Gore"
1,1,33,"SomeCol",8,"68-95th Percentile","Gore"
1,0,34,"ColGrad",47,"96-100th Percentile","Gore"
1,1,49,"HS",23,"0-16th Percentile","Gore"
1,0,39,"SomeCol",12,"34-67th Percentile","NoIntent"
1,0,40,"SomeCol",12,"34-67th Percentile","Bush"
0,0,76,"ColGrad",4,"34-67th Percentile","Bush"
1,0,65,"SomeCol",1,"96-100th Percentile","Bush"
1,0,42,"HS",31,"68-95th Percentile","Bush"
0,0,30,"ColGrad",4,"34-67th Percentile","Gore"
1,0,48,"HS",11,"0-16th Percentile","Bush"
1,0,47,"SomeCol",10,"68-95th Percentile","Bush"
0,0,43,"SomeCol",21,"34-67th Percentile","Bush"
0,0,38,"ColGrad",45,"34-67th Percentile","Gore"
0,0,65,"<HS",45,"34-67th Percentile","Gore"
1,0,68,"SomeCol",47,"68-95th Percentile","Bush"
0,0,21,"HS",13,"0-16th Percentile","Bush"
1,0,37,"SomeCol",31,"34-67th Percentile","Gore"
0,1,38,"HS",8,"34-67th Percentile","Gore"
1,0,66,"HS",14,"17-33rd Percentile","Bush"
1,0,30,"ColGrad",34,"17-33rd Percentile","Bush"
1,0,62,"ColGrad",10,"34-67th Percentile","NoIntent"
1,0,44,"ColGrad",39,"34-67th Percentile","Gore"
0,0,46,"ColGrad",35,"96-100th Percentile","Gore"
1,0,60,"ColGrad",27,"96-100th Percentile","Bush"
1,0,54,"HS",26,"17-33rd Percentile","Bush"
1,0,42,"ColGrad",45,"68-95th Percentile","Bush"
0,0,66,"ColGrad",45,"34-67th Percentile","Gore"
0,0,49,"ColGrad",23,"68-95th Percentile","Gore"
0,0,37,"ColGrad",15,"68-95th Percentile","Bush"
0,0,42,"ColGrad",16,"34-67th Percentile","NoIntent"
1,0,38,"HS",9,"34-67th Percentile","Bush"
1,0,38,"HS",9,"34-67th Percentile","Bush"
0,0,36,"HS",39,"34-67th Percentile","Gore"
1,0,56,"SomeCol",23,"68-95th Percentile","Bush"
1,0,44,"ColGrad",43,"68-95th Percentile","Bush"
1,0,19,"HS",43,"17-33rd Percentile","Gore"
1,0,54,"SomeCol",43,"17-33rd Percentile","Gore"
1,0,19,"SomeCol",43,"96-100th Percentile","Bush"
0,0,60,"ColGrad",43,"34-67th Percentile","Gore"
1,0,38,"ColGrad",43,"68-95th Percentile","Bush"
0,1,63,"HS",23,"17-33rd Percentile","Gore"
1,1,35,"SomeCol",23,"34-67th Percentile","Gore"
0,0,50,"HS",3,"0-16th Percentile","Gore"
1,0,30,"SomeCol",3,"17-33rd Percentile","Bush"
1,0,87,"HS",3,"17-33rd Percentile","Bush"
0,0,62,"HS",3,"34-67th Percentile","Gore"
0,1,57,"SomeCol",8,"17-33rd Percentile","Gore"
0,0,42,"ColGrad",45,"68-95th Percentile","Bush"
0,0,41,"SomeCol",45,"68-95th Percentile","Bush"
1,0,30,"ColGrad",22,"34-67th Percentile","Gore"
1,0,54,"ColGrad",22,"68-95th Percentile","Bush"
0,0,39,"HS",14,"68-95th Percentile","Bush"
1,0,57,"HS",14,"0-16th Percentile","Bush"
0,0,26,"ColGrad",14,"68-95th Percentile","Bush"
0,0,74,"SomeCol",45,"68-95th Percentile","Bush"
0,0,69,"HS",45,"96-100th Percentile","Bush"
0,0,48,"SomeCol",45,"0-16th Percentile","Gore"
0,0,41,"SomeCol",45,"34-67th Percentile","Bush"
0,0,42,"SomeCol",45,"17-33rd Percentile","Bush"
1,0,60,"HS",45,"17-33rd Percentile","Gore"
0,0,32,"SomeCol",45,"34-67th Percentile","Gore"
0,0,33,"ColGrad",45,"68-95th Percentile","Bush"
0,0,36,"ColGrad",47,"68-95th Percentile","Gore"
0,0,42,"SomeCol",47,"68-95th Percentile","Bush"
0,0,75,"ColGrad",47,"68-95th Percentile","Bush"
0,1,50,"ColGrad",26,"34-67th Percentile","Bush"
0,1,40,"ColGrad",26,"68-95th Percentile","Gore"
0,0,26,"ColGrad",9,"0-16th Percentile","Gore"
0,0,62,"ColGrad",45,"17-33rd Percentile","Gore"
0,0,47,"ColGrad",45,"96-100th Percentile","Gore"
0,1,59,"SomeCol",27,"0-16th Percentile","Gore"
0,0,37,"SomeCol",43,"34-67th Percentile","Bush"
0,1,68,"SomeCol",14,"17-33rd Percentile","Gore"
1,1,32,"SomeCol",14,"17-33rd Percentile","Gore"
0,1,44,"ColGrad",14,"68-95th Percentile","Gore"
1,1,19,"HS",14,"17-33rd Percentile","Gore"
0,0,72,"SomeCol",18,"17-33rd Percentile","Gore"
0,0,47,"ColGrad",18,"96-100th Percentile","Bush"
1,0,67,"SomeCol",10,"34-67th Percentile","Bush"
1,0,61,"ColGrad",14,"68-95th Percentile","Bush"
1,0,61,"ColGrad",15,"68-95th Percentile","Gore"
1,0,48,"ColGrad",15,"17-33rd Percentile","Bush"
1,0,78,"HS",17,"17-33rd Percentile","Gore"
1,0,29,"HS",15,"17-33rd Percentile","Gore"
0,0,79,"SomeCol",17,"17-33rd Percentile","Gore"
0,0,44,"HS",12,"17-33rd Percentile","Bush"
1,0,37,"ColGrad",12,"17-33rd Percentile","Gore"
0,0,51,"SomeCol",12,"96-100th Percentile","Gore"
1,0,64,"HS",14,"34-67th Percentile","Gore"
1,1,28,"SomeCol",7,"17-33rd Percentile","Gore"
0,0,59,"ColGrad",39,"96-100th Percentile","Bush"
0,1,46,"HS",36,"17-33rd Percentile","Gore"
0,0,37,"ColGrad",17,"68-95th Percentile","Gore"
1,0,24,"ColGrad",17,"0-16th Percentile","Gore"
0,0,57,"ColGrad",17,"96-100th Percentile","NoIntent"
0,0,82,"HS",17,"17-33rd Percentile","Gore"
1,0,58,"HS",17,"68-95th Percentile","Bush"
1,0,54,"ColGrad",17,"68-95th Percentile","Gore"
0,0,57,"ColGrad",17,"0-16th Percentile","Gore"
1,0,51,"ColGrad",47,"96-100th Percentile","Bush"
1,0,45,"SomeCol",8,"34-67th Percentile","Gore"
0,0,30,"ColGrad",8,"34-67th Percentile","Gore"
0,0,51,"SomeCol",11,"17-33rd Percentile","Bush"
1,0,26,"HS",31,"0-16th Percentile","NoIntent"
0,0,43,"SomeCol",15,"17-33rd Percentile","Bush"
0,1,63,"ColGrad",27,"34-67th Percentile","NoIntent"
1,0,46,"HS",45,"17-33rd Percentile","Bush"
0,0,38,"ColGrad",45,"68-95th Percentile","Gore"
1,0,37,"SomeCol",45,"34-67th Percentile","Bush"
0,0,34,"SomeCol",45,"68-95th Percentile","Bush"
1,0,23,"SomeCol",12,"0-16th Percentile","Gore"
0,0,52,"SomeCol",10,"68-95th Percentile","Bush"
0,1,45,"SomeCol",10,"68-95th Percentile","Bush"
0,0,26,"SomeCol",22,"17-33rd Percentile","Gore"
1,1,32,"SomeCol",10,"0-16th Percentile","Gore"
1,0,52,"ColGrad",45,"68-95th Percentile","Bush"
1,0,26,"SomeCol",22,"34-67th Percentile","Gore"
1,0,59,"ColGrad",22,"68-95th Percentile","Bush"
0,0,23,"ColGrad",22,"0-16th Percentile","Bush"
1,0,54,"SomeCol",22,"17-33rd Percentile","Bush"
0,0,35,"HS",47,"17-33rd Percentile","Bush"
0,0,35,"ColGrad",46,"68-95th Percentile","Gore"
1,0,25,"ColGrad",34,"34-67th Percentile","Gore"
1,0,72,"ColGrad",17,"17-33rd Percentile","Bush"
0,0,53,"ColGrad",20,"34-67th Percentile","Gore"
0,0,68,"HS",41,"17-33rd Percentile","Gore"
1,0,26,"SomeCol",8,"0-16th Percentile","Gore"
0,0,73,"HS",46,"17-33rd Percentile","Gore"
1,0,46,"SomeCol",42,"34-67th Percentile","Bush"
0,0,24,"ColGrad",17,"17-33rd Percentile","Bush"
0,0,54,"HS",9,"68-95th Percentile","Gore"
1,0,41,"ColGrad",8,"17-33rd Percentile","Gore"
1,0,22,"SomeCol",8,"0-16th Percentile","Bush"
0,0,49,"SomeCol",13,"68-95th Percentile","Bush"
0,0,41,"ColGrad",22,"34-67th Percentile","Gore"
1,0,36,"ColGrad",14,"68-95th Percentile","Gore"
0,0,31,"HS",14,"34-67th Percentile","Bush"
0,0,50,"HS",14,"34-67th Percentile","Bush"
1,1,54,"HS",14,"0-16th Percentile","Gore"
0,1,24,"HS",35,"68-95th Percentile","Bush"
0,1,19,"HS",17,"34-67th Percentile","Gore"
0,0,38,"ColGrad",35,"96-100th Percentile","Bush"
0,0,82,"HS",45,"17-33rd Percentile","Gore"
1,0,24,"SomeCol",25,"17-33rd Percentile","Bush"
0,0,26,"ColGrad",31,"17-33rd Percentile","Bush"
1,0,64,"SomeCol",45,"0-16th Percentile","Gore"
1,0,57,"SomeCol",12,"34-67th Percentile","Gore"
1,0,42,"HS",32,"0-16th Percentile","Bush"
1,0,47,"ColGrad",2,"17-33rd Percentile","Gore"
1,1,49,"SomeCol",10,"17-33rd Percentile","Gore"
