"female","black","age","education","state","income","vote"
1,0,33,"HS",43,"0-16th Percentile","Bush"
0,0,27,"ColGrad",45,"17-33rd Percentile","Gore"
0,0,48,"ColGrad",8,"68-95th Percentile","Gore"
0,0,58,"ColGrad",25,"96-100th Percentile","Bush"
0,0,37,"ColGrad",23,"68-95th Percentile","Bush"
1,1,53,"HS",23,"17-33rd Percentile","Gore"
1,0,42,"SomeCol",4,"34-67th Percentile","Gore"
0,0,28,"HS",4,"17-33rd Percentile","Gore"
0,0,47,"SomeCol",47,"68-95th Percentile","Gore"
1,0,37,"ColGrad",18,"0-16th Percentile","Bush"
1,0,51,"HS",19,"68-95th Percentile","Gore"
1,0,40,"ColGrad",22,"68-95th Percentile","Bush"
0,0,79,"SomeCol",25,"34-67th Percentile","Bush"
1,0,50,"ColGrad",15,"34-67th Percentile","Gore"
0,0,39,"SomeCol",15,"34-67th Percentile","Gore"
1,1,36,"HS",27,"17-33rd Percentile","NoIntent"
1,0,36,"SomeCol",10,"68-95th Percentile","Bush"
0,0,19,"HS",18,"34-67th Percentile","Gore"
0,0,52,"ColGrad",44,"96-100th Percentile","Bush"
0,0,73,"HS",8,"17-33rd Percentile","Bush"
1,0,43,"ColGrad",8,"96-100th Percentile","Gore"
1,0,48,"ColGrad",8,"96-100th Percentile","Gore"
1,0,78,"ColGrad",8,"68-95th Percentile","Gore"
1,0,73,"HS",4,"17-33rd Percentile","Bush"
1,0,36,"HS",3,"34-67th Percentile","Bush"
1,0,35,"ColGrad",12,"96-100th Percentile","Bush"
1,0,42,"ColGrad",23,"34-67th Percentile","Bush"
0,0,80,"SomeCol",1,"0-16th Percentile","Gore"
1,0,48,"HS",12,"96-100th Percentile","Bush"
1,0,53,"ColGrad",12,"96-100th Percentile","Gore"
0,0,74,"HS",17,"17-33rd Percentile","Gore"
1,0,33,"HS",22,"34-67th Percentile","Bush"
1,0,48,"HS",22,"34-67th Percentile","Bush"
0,0,30,"ColGrad",22,"68-95th Percentile","Bush"
0,0,27,"ColGrad",40,"34-67th Percentile","Bush"
0,0,46,"SomeCol",14,"68-95th Percentile","Gore"
1,0,42,"ColGrad",15,"96-100th Percentile","Bush"
0,1,39,"ColGrad",23,"34-67th Percentile","Gore"
0,1,34,"HS",23,"34-67th Percentile","Gore"
1,0,70,"<HS",33,"17-33rd Percentile","Bush"
0,0,50,"HS",31,"34-67th Percentile","Bush"
1,0,29,"SomeCol",47,"96-100th Percentile","Bush"
1,0,72,"SomeCol",45,"17-33rd Percentile","Bush"
0,1,45,"SomeCol",35,"68-95th Percentile","Gore"
0,1,38,"HS",16,"34-67th Percentile","Gore"
0,0,22,"ColGrad",9,"0-16th Percentile","Gore"
0,1,27,"ColGrad",26,"34-67th Percentile","Gore"
1,0,58,"SomeCol",16,"34-67th Percentile","Bush"
0,0,31,"ColGrad",8,"96-100th Percentile","Bush"
0,0,37,"HS",31,"17-33rd Percentile","Bush"
1,0,35,"ColGrad",17,"34-67th Percentile","Bush"
0,0,37,"<HS",12,"68-95th Percentile","Bush"
1,0,31,"SomeCol",8,"17-33rd Percentile","Gore"
1,1,47,"SomeCol",31,"34-67th Percentile","Gore"
0,0,33,"ColGrad",9,"96-100th Percentile","Bush"
1,0,42,"ColGrad",8,"34-67th Percentile","Bush"
1,0,50,"ColGrad",8,"68-95th Percentile","Gore"
0,1,52,"HS",33,"34-67th Percentile","Gore"
1,0,31,"ColGrad",27,"17-33rd Percentile","Bush"
0,0,47,"SomeCol",25,"68-95th Percentile","Bush"
1,0,95,"<HS",15,"0-16th Percentile","Bush"
0,0,35,"SomeCol",15,"68-95th Percentile","Bush"
0,0,27,"ColGrad",25,"34-67th Percentile","Bush"
0,1,45,"HS",25,"68-95th Percentile","NoIntent"
1,0,43,"HS",4,"34-67th Percentile","Bush"
1,0,50,"ColGrad",25,"68-95th Percentile","Gore"
1,1,18,"HS",12,"34-67th Percentile","Gore"
0,0,44,"SomeCol",12,"34-67th Percentile","Gore"
0,0,53,"SomeCol",12,"68-95th Percentile","Gore"
1,0,53,"ColGrad",25,"34-67th Percentile","Gore"
0,0,38,"HS",25,"34-67th Percentile","Bush"
1,0,71,"SomeCol",25,"17-33rd Percentile","Bush"
1,0,30,"ColGrad",27,"17-33rd Percentile","Bush"
0,0,48,"ColGrad",16,"68-95th Percentile","Gore"
0,0,40,"SomeCol",17,"34-67th Percentile","Bush"
0,0,73,"HS",17,"34-67th Percentile","Gore"
1,0,86,"ColGrad",17,"34-67th Percentile","Gore"
0,0,34,"HS",14,"34-67th Percentile","Bush"
0,1,41,"HS",23,"17-33rd Percentile","Gore"
1,0,46,"ColGrad",38,"17-33rd Percentile","Gore"
0,0,92,"HS",45,"17-33rd Percentile","NoIntent"
0,0,42,"ColGrad",14,"17-33rd Percentile","Bush"
1,0,57,"SomeCol",39,"68-95th Percentile","Bush"
1,0,24,"SomeCol",12,"0-16th Percentile","Gore"
0,0,51,"HS",17,"0-16th Percentile","Gore"
1,0,59,"HS",13,"0-16th Percentile","Gore"
1,0,44,"HS",10,"17-33rd Percentile","Gore"
1,0,53,"ColGrad",25,"34-67th Percentile","Gore"
0,1,38,"ColGrad",27,"68-95th Percentile","Gore"
0,0,76,"ColGrad",39,"96-100th Percentile","Bush"
1,1,49,"ColGrad",30,"34-67th Percentile","Gore"
1,0,25,"SomeCol",14,"17-33rd Percentile","Gore"
0,0,58,"HS",32,"17-33rd Percentile","Bush"
0,0,56,"SomeCol",34,"17-33rd Percentile","Gore"
1,0,46,"ColGrad",16,"68-95th Percentile","Bush"
0,0,33,"SomeCol",45,"34-67th Percentile","Bush"
0,0,50,"ColGrad",32,"68-95th Percentile","Gore"
0,0,28,"ColGrad",3,"34-67th Percentile","Gore"
0,0,21,"SomeCol",45,"68-95th Percentile","Gore"
0,0,45,"ColGrad",14,"68-95th Percentile","Bush"
1,0,25,"HS",46,"34-67th Percentile","Gore"
0,0,22,"HS",18,"34-67th Percentile","Bush"
1,1,81,"<HS",35,"0-16th Percentile","Gore"
1,0,18,"HS",39,"34-67th Percentile","Bush"
1,1,53,"SomeCol",16,"34-67th Percentile","Gore"
0,0,56,"HS",47,"17-33rd Percentile","Bush"
1,0,39,"SomeCol",30,"17-33rd Percentile","Gore"
1,1,22,"SomeCol",29,"68-95th Percentile","Gore"
0,1,56,"SomeCol",13,"34-67th Percentile","Gore"
1,0,69,"HS",30,"17-33rd Percentile","Gore"
0,0,20,"SomeCol",13,"34-67th Percentile","Gore"
1,0,21,"SomeCol",1,"68-95th Percentile","Gore"
0,0,63,"HS",26,"34-67th Percentile","Bush"
1,0,37,"ColGrad",29,"34-67th Percentile","Bush"
1,0,39,"ColGrad",35,"17-33rd Percentile","Gore"
0,0,41,"HS",35,"34-67th Percentile","Bush"
1,0,82,"ColGrad",35,"68-95th Percentile","Bush"
0,0,47,"ColGrad",35,"68-95th Percentile","Bush"
0,0,44,"ColGrad",35,"68-95th Percentile","Bush"
1,0,58,"HS",35,"34-67th Percentile","Bush"
1,0,27,"ColGrad",35,"68-95th Percentile","Gore"
1,0,66,"HS",35,"34-67th Percentile","Bush"
1,1,21,"HS",35,"0-16th Percentile","Gore"
1,1,39,"HS",25,"0-16th Percentile","Gore"
1,0,87,"SomeCol",22,"0-16th Percentile","Bush"
1,0,57,"HS",31,"68-95th Percentile","Bush"
0,1,30,"ColGrad",31,"34-67th Percentile","Gore"
0,0,65,"ColGrad",7,"96-100th Percentile","Gore"
0,0,66,"<HS",20,"17-33rd Percentile","Gore"
1,0,38,"SomeCol",46,"0-16th Percentile","Bush"
1,0,35,"SomeCol",47,"68-95th Percentile","Gore"
1,0,50,"HS",35,"96-100th Percentile","Bush"
1,0,39,"SomeCol",25,"96-100th Percentile","Bush"
1,0,63,"HS",25,"0-16th Percentile","NoIntent"
0,1,73,"<HS",25,"0-16th Percentile","Gore"
1,0,73,"HS",25,"17-33rd Percentile","Bush"
1,0,91,"HS",25,"17-33rd Percentile","Bush"
1,0,52,"SomeCol",10,"68-95th Percentile","Bush"
1,1,28,"SomeCol",9,"17-33rd Percentile","Gore"
1,0,54,"HS",34,"17-33rd Percentile","Gore"
0,0,33,"SomeCol",31,"68-95th Percentile","Bush"
0,0,58,"SomeCol",15,"34-67th Percentile","Bush"
0,0,32,"ColGrad",17,"68-95th Percentile","Bush"
1,0,40,"SomeCol",10,"34-67th Percentile","Gore"
0,0,38,"ColGrad",31,"96-100th Percentile","Bush"
1,1,41,"SomeCol",31,"34-67th Percentile","Bush"
1,0,32,"ColGrad",10,"34-67th Percentile","Gore"
1,0,43,"SomeCol",26,"34-67th Percentile","Bush"
0,0,58,"SomeCol",10,"34-67th Percentile","Bush"
0,0,69,"SomeCol",31,"34-67th Percentile","Bush"
1,0,38,"HS",24,"34-67th Percentile","Gore"
1,1,35,"HS",17,"34-67th Percentile","Gore"
0,0,33,"ColGrad",7,"68-95th Percentile","Bush"
0,0,51,"ColGrad",17,"68-95th Percentile","Bush"
0,0,32,"ColGrad",40,"34-67th Percentile","Bush"
1,0,38,"ColGrad",32,"68-95th Percentile","Gore"
1,0,27,"ColGrad",31,"17-33rd Percentile","Gore"
0,1,38,"HS",22,"17-33rd Percentile","Gore"
0,0,24,"ColGrad",10,"68-95th Percentile","Bush"
1,1,27,"SomeCol",25,"0-16th Percentile","Bush"
1,0,26,"ColGrad",47,"68-95th Percentile","Gore"
1,0,30,"SomeCol",47,"68-95th Percentile","Bush"
0,1,40,"ColGrad",35,"17-33rd Percentile","Gore"
1,1,38,"HS",7,"17-33rd Percentile","Gore"
1,0,50,"ColGrad",39,"68-95th Percentile","Gore"
0,0,20,"HS",45,"0-16th Percentile","Gore"
0,0,73,"ColGrad",45,"96-100th Percentile","Gore"
0,0,41,"ColGrad",45,"96-100th Percentile","Bush"
0,0,54,"ColGrad",45,"68-95th Percentile","Bush"
1,0,39,"SomeCol",10,"34-67th Percentile","Bush"
1,0,46,"SomeCol",46,"34-67th Percentile","Bush"
0,0,42,"SomeCol",2,"34-67th Percentile","Gore"
0,1,40,"SomeCol",8,"68-95th Percentile","Gore"
1,0,54,"ColGrad",31,"96-100th Percentile","Bush"
0,0,39,"ColGrad",47,"17-33rd Percentile","Gore"
0,0,37,"SomeCol",45,"68-95th Percentile","Bush"
0,0,63,"ColGrad",45,"17-33rd Percentile","Bush"
0,0,78,"ColGrad",45,"34-67th Percentile","Bush"
0,0,24,"SomeCol",45,"68-95th Percentile","Gore"
0,0,33,"HS",45,"34-67th Percentile","Gore"
1,0,21,"HS",45,"17-33rd Percentile","Gore"
1,1,22,"HS",45,"0-16th Percentile","Gore"
1,0,35,"SomeCol",45,"17-33rd Percentile","Gore"
1,1,30,"SomeCol",45,"0-16th Percentile","Bush"
1,0,61,"ColGrad",8,"68-95th Percentile","Gore"
0,1,23,"HS",46,"17-33rd Percentile","Gore"
1,0,48,"ColGrad",39,"68-95th Percentile","Bush"
1,0,57,"ColGrad",45,"34-67th Percentile","Gore"
0,0,80,"SomeCol",43,"34-67th Percentile","Gore"
0,0,20,"SomeCol",39,"17-33rd Percentile","Bush"
0,0,36,"ColGrad",45,"34-67th Percentile","Gore"
1,0,72,"ColGrad",45,"0-16th Percentile","Gore"
0,0,45,"ColGrad",31,"96-100th Percentile","Bush"
1,0,50,"ColGrad",31,"68-95th Percentile","Gore"
1,0,65,"SomeCol",31,"17-33rd Percentile","Gore"
0,0,50,"ColGrad",31,"96-100th Percentile","Bush"
1,0,57,"HS",3,"17-33rd Percentile","NoIntent"
1,1,42,"SomeCol",9,"17-33rd Percentile","Gore"
0,0,32,"ColGrad",9,"96-100th Percentile","Gore"
1,0,31,"ColGrad",9,"68-95th Percentile","Gore"
1,0,73,"HS",8,"17-33rd Percentile","Bush"
1,0,44,"HS",43,"17-33rd Percentile","Bush"
1,0,37,"SomeCol",9,"68-95th Percentile","Bush"
1,0,46,"ColGrad",45,"68-95th Percentile","Gore"
0,0,30,"SomeCol",8,"34-67th Percentile","Gore"
0,0,56,"SomeCol",45,"68-95th Percentile","Gore"
1,0,34,"ColGrad",45,"96-100th Percentile","Bush"
1,0,75,"SomeCol",1,"17-33rd Percentile","Gore"
0,0,62,"ColGrad",31,"34-67th Percentile","Bush"
0,0,33,"ColGrad",22,"34-67th Percentile","Bush"
0,0,61,"HS",22,"17-33rd Percentile","Bush"
1,0,28,"SomeCol",22,"17-33rd Percentile","Bush"
1,0,27,"HS",31,"17-33rd Percentile","Gore"
1,0,64,"SomeCol",31,"96-100th Percentile","Gore"
0,0,68,"HS",31,"68-95th Percentile","Bush"
1,1,35,"SomeCol",31,"34-67th Percentile","Gore"
0,0,60,"HS",31,"17-33rd Percentile","Gore"
1,0,28,"HS",31,"17-33rd Percentile","Gore"
0,0,50,"HS",13,"0-16th Percentile","Bush"
1,1,44,"ColGrad",8,"68-95th Percentile","Gore"
1,0,56,"ColGrad",8,"34-67th Percentile","NoIntent"
1,0,52,"SomeCol",8,"0-16th Percentile","Gore"
0,0,71,"HS",8,"17-33rd Percentile","Bush"
1,0,40,"SomeCol",8,"17-33rd Percentile","Bush"
0,0,37,"ColGrad",29,"68-95th Percentile","Bush"
0,0,55,"ColGrad",7,"68-95th Percentile","Gore"
1,0,73,"HS",24,"17-33rd Percentile","Bush"
1,1,39,"SomeCol",30,"17-33rd Percentile","Gore"
0,0,43,"ColGrad",46,"68-95th Percentile","Gore"
0,0,21,"SomeCol",45,"17-33rd Percentile","Gore"
1,0,53,"ColGrad",31,"96-100th Percentile","Bush"
0,0,39,"ColGrad",43,"17-33rd Percentile","Gore"
0,0,50,"ColGrad",1,"68-95th Percentile","Gore"
1,0,51,"SomeCol",8,"68-95th Percentile","Gore"
1,0,48,"ColGrad",3,"68-95th Percentile","Gore"
0,1,30,"HS",24,"17-33rd Percentile","Gore"
1,1,19,"SomeCol",29,"0-16th Percentile","Gore"
0,0,40,"HS",14,"68-95th Percentile","Gore"
1,0,36,"ColGrad",47,"68-95th Percentile","Gore"
1,0,22,"SomeCol",10,"0-16th Percentile","Bush"
0,0,50,"SomeCol",40,"34-67th Percentile","Bush"
1,1,20,"SomeCol",26,"68-95th Percentile","Gore"
0,0,53,"SomeCol",33,"96-100th Percentile","Bush"
1,0,78,"SomeCol",10,"17-33rd Percentile","Gore"
1,0,68,"SomeCol",43,"34-67th Percentile","Gore"
1,1,23,"SomeCol",10,"17-33rd Percentile","Gore"
1,0,35,"ColGrad",7,"34-67th Percentile","Gore"
1,0,46,"HS",10,"34-67th Percentile","Gore"
0,1,37,"SomeCol",10,"0-16th Percentile","Gore"
0,0,54,"SomeCol",14,"34-67th Percentile","Gore"
0,0,56,"ColGrad",26,"68-95th Percentile","Gore"
1,0,57,"HS",13,"17-33rd Percentile","Bush"
0,0,55,"ColGrad",25,"34-67th Percentile","Bush"
0,1,23,"HS",9,"34-67th Percentile","NoIntent"
1,1,34,"SomeCol",31,"68-95th Percentile","Gore"
0,0,42,"ColGrad",8,"68-95th Percentile","Gore"
1,0,55,"SomeCol",7,"68-95th Percentile","Gore"
1,0,54,"ColGrad",33,"34-67th Percentile","Gore"
0,0,63,"ColGrad",33,"68-95th Percentile","Gore"
1,0,69,"SomeCol",33,"34-67th Percentile","Gore"
1,0,63,"ColGrad",33,"68-95th Percentile","Gore"
0,0,47,"SomeCol",33,"34-67th Percentile","Gore"
1,0,29,"ColGrad",43,"17-33rd Percentile","Gore"
1,0,25,"ColGrad",17,"17-33rd Percentile","Gore"
0,0,54,"SomeCol",17,"68-95th Percentile","Gore"
1,0,27,"SomeCol",8,"34-67th Percentile","Gore"
1,0,20,"SomeCol",31,"34-67th Percentile","NoIntent"
0,0,40,"ColGrad",33,"68-95th Percentile","Gore"
1,0,22,"ColGrad",8,"17-33rd Percentile","Gore"
1,0,20,"HS",22,"96-100th Percentile","Gore"
0,0,48,"SomeCol",3,"0-16th Percentile","Gore"
0,0,34,"ColGrad",4,"34-67th Percentile","Bush"
0,1,55,"SomeCol",45,"17-33rd Percentile","Gore"
0,0,48,"ColGrad",45,"68-95th Percentile","Bush"
0,0,58,"HS",45,"34-67th Percentile","Bush"
0,0,50,"SomeCol",8,"68-95th Percentile","Bush"
0,0,36,"SomeCol",16,"68-95th Percentile","Bush"
0,0,49,"SomeCol",20,"96-100th Percentile","Bush"
1,0,56,"HS",45,"68-95th Percentile","Gore"
1,0,64,"HS",45,"17-33rd Percentile","Gore"
1,0,90,"ColGrad",31,"17-33rd Percentile","Bush"
1,0,32,"SomeCol",31,"34-67th Percentile","Bush"
1,0,53,"ColGrad",31,"68-95th Percentile","Gore"
1,1,35,"HS",23,"0-16th Percentile","Bush"
1,1,73,"HS",26,"0-16th Percentile","Gore"
0,0,60,"SomeCol",32,"0-16th Percentile","Gore"
1,0,37,"HS",12,"68-95th Percentile","Bush"
0,0,39,"SomeCol",22,"34-67th Percentile","Gore"
0,0,42,"SomeCol",45,"68-95th Percentile","Gore"
1,0,60,"HS",4,"0-16th Percentile","Gore"
0,0,71,"<HS",45,"17-33rd Percentile","Gore"
0,0,38,"ColGrad",26,"96-100th Percentile","Gore"
1,0,42,"ColGrad",35,"96-100th Percentile","Bush"
1,1,33,"ColGrad",8,"34-67th Percentile","Gore"
1,1,47,"SomeCol",31,"34-67th Percentile","Gore"
1,0,33,"ColGrad",26,"68-95th Percentile","Bush"
0,0,83,"<HS",3,"17-33rd Percentile","Bush"
1,0,36,"HS",4,"17-33rd Percentile","Gore"
1,0,38,"ColGrad",23,"17-33rd Percentile","Bush"
1,0,41,"SomeCol",37,"34-67th Percentile","Bush"
1,0,45,"SomeCol",35,"34-67th Percentile","Gore"
1,1,63,"SomeCol",25,"17-33rd Percentile","Gore"
0,0,57,"ColGrad",45,"96-100th Percentile","Gore"
0,0,69,"HS",33,"17-33rd Percentile","Gore"
0,0,39,"HS",31,"17-33rd Percentile","Bush"
0,0,27,"SomeCol",29,"34-67th Percentile","Bush"
1,0,60,"HS",43,"17-33rd Percentile","Gore"
0,0,65,"SomeCol",24,"17-33rd Percentile","Bush"
0,0,38,"HS",24,"17-33rd Percentile","Bush"
0,0,55,"ColGrad",47,"68-95th Percentile","Gore"
1,0,43,"SomeCol",17,"17-33rd Percentile","Gore"
0,0,61,"HS",1,"68-95th Percentile","Gore"
1,0,59,"HS",26,"34-67th Percentile","Bush"
0,0,57,"HS",29,"17-33rd Percentile","Bush"
1,0,56,"<HS",45,"17-33rd Percentile","Gore"
0,0,28,"ColGrad",22,"34-67th Percentile","Gore"
1,0,53,"ColGrad",22,"96-100th Percentile","Gore"
0,0,29,"SomeCol",47,"34-67th Percentile","Gore"
0,0,37,"ColGrad",38,"68-95th Percentile","Gore"
0,0,44,"SomeCol",45,"34-67th Percentile","Bush"
1,0,58,"<HS",45,"0-16th Percentile","Gore"
1,0,49,"HS",38,"68-95th Percentile","Gore"
0,0,32,"ColGrad",7,"68-95th Percentile","Bush"
0,0,68,"HS",7,"17-33rd Percentile","Gore"
1,0,39,"SomeCol",7,"68-95th Percentile","Gore"
1,1,41,"SomeCol",7,"34-67th Percentile","Gore"
0,0,40,"HS",7,"34-67th Percentile","Gore"
1,0,76,"ColGrad",7,"34-67th Percentile","Bush"
1,0,44,"SomeCol",8,"34-67th Percentile","Gore"
0,0,49,"ColGrad",8,"68-95th Percentile","Bush"
0,0,68,"<HS",10,"34-67th Percentile","Gore"
1,0,31,"HS",4,"0-16th Percentile","Bush"
0,0,68,"SomeCol",3,"68-95th Percentile","Bush"
0,0,60,"ColGrad",23,"17-33rd Percentile","Bush"
0,1,32,"ColGrad",39,"68-95th Percentile","Gore"
1,0,32,"ColGrad",43,"68-95th Percentile","Bush"
0,0,23,"SomeCol",31,"17-33rd Percentile","Bush"
0,0,66,"SomeCol",33,"68-95th Percentile","NoIntent"
1,0,25,"ColGrad",5,"17-33rd Percentile","Bush"
1,0,75,"SomeCol",31,"17-33rd Percentile","Bush"
1,0,44,"ColGrad",18,"34-67th Percentile","Gore"
1,0,30,"ColGrad",25,"68-95th Percentile","Bush"
1,0,49,"ColGrad",14,"68-95th Percentile","Gore"
0,0,29,"ColGrad",12,"34-67th Percentile","Gore"
1,0,55,"HS",12,"68-95th Percentile","Gore"
1,1,55,"HS",13,"0-16th Percentile","Gore"
1,0,42,"HS",8,"68-95th Percentile","Bush"
0,0,45,"SomeCol",8,"68-95th Percentile","Gore"
0,0,28,"HS",27,"68-95th Percentile","Bush"
0,0,39,"SomeCol",27,"68-95th Percentile","Gore"
0,0,39,"ColGrad",27,"68-95th Percentile","Bush"
1,0,33,"SomeCol",27,"17-33rd Percentile","Bush"
1,0,72,"SomeCol",27,"17-33rd Percentile","Bush"
0,0,22,"HS",27,"96-100th Percentile","Gore"
0,0,34,"HS",27,"68-95th Percentile","Bush"
0,0,34,"HS",27,"34-67th Percentile","Gore"
0,0,32,"SomeCol",27,"17-33rd Percentile","Bush"
0,0,42,"HS",27,"68-95th Percentile","Bush"
0,0,39,"ColGrad",12,"68-95th Percentile","Bush"
1,0,74,"HS",4,"17-33rd Percentile","Bush"
0,0,36,"ColGrad",45,"34-67th Percentile","Gore"
0,1,36,"ColGrad",31,"68-95th Percentile","Gore"
0,0,42,"HS",45,"68-95th Percentile","Gore"
1,0,56,"ColGrad",13,"34-67th Percentile","Bush"
1,0,28,"ColGrad",36,"68-95th Percentile","Gore"
1,0,41,"ColGrad",14,"17-33rd Percentile","Gore"
0,0,38,"SomeCol",14,"17-33rd Percentile","Gore"
0,0,57,"ColGrad",35,"96-100th Percentile","Bush"
0,0,44,"ColGrad",45,"34-67th Percentile","Bush"
1,0,88,"SomeCol",8,"0-16th Percentile","Gore"
1,0,28,"HS",8,"17-33rd Percentile","Gore"
1,0,28,"ColGrad",31,"0-16th Percentile","Bush"
1,0,70,"SomeCol",8,"17-33rd Percentile","Bush"
1,0,47,"SomeCol",8,"34-67th Percentile","Bush"
1,0,37,"ColGrad",35,"68-95th Percentile","NoIntent"
1,0,38,"HS",35,"17-33rd Percentile","Gore"
0,0,36,"SomeCol",11,"34-67th Percentile","Bush"
0,0,48,"SomeCol",11,"34-67th Percentile","Bush"
1,0,51,"HS",14,"34-67th Percentile","Bush"
1,0,52,"HS",13,"17-33rd Percentile","NoIntent"
0,0,23,"SomeCol",18,"68-95th Percentile","Gore"
1,0,36,"ColGrad",13,"34-67th Percentile","Gore"
1,0,73,"HS",31,"0-16th Percentile","Gore"
